specimen_id,MS_institution_code,iDB_institution_code,MS_collection_code,iDB_collection_code,MS_catalog_number,iDB_catalog_number,MS_genus,iDB_genus,MS_species,iDB_species
5728,UCMP,ucmp,,v,218180,218180,,,,
5729,UCMP,ucmp,,v,218161,218161,,,,
5730,UCMP,ucmp,,v,218206,218206,,,,
5731,UCMP,ucmp,,v,218213,218213,,,,
5732,UCMP,ucmp,,v,217997,217997,,,,
5733,UCMP,ucmp,,v,218141,218141,,,,
5734,UCMP,ucmp,,v,218140,218140,,,,
5735,UCMP,ucmp,,v,218201,218201,,,,
5736,UCMP,ucmp,,v,218203,218203,,,,
5738,UF,uf,H,herp,112506,112506,Colostethus,hyloxalus,sylvaticus,sylvaticus
5741,UF,uf,H,herp,2900-15,2900,Anolis,anolis,carolinensis,carolinensis
5742,UCMP,ucmp,,v,218185,218185,,,,
5743,UCMP,ucmp,,v,218264,218264,,,,
5744,UCMP,ucmp,,v,218286,218286,,,,
5745,UCMP,ucmp,,v,218298,218298,,,,
5746,UCMP,ucmp,,v,218279,218279,,,,
5747,UCMP,ucmp,,v,218412,218412,,,,
5748,UCMP,ucmp,,v,218411,218411,,,,
5749,UCMP,ucmp,,v,218408,218408,,,,
5750,UCMP,ucmp,,v,218413,218413,,,,
5752,UF,uf,H,herp,71411,71411,Varanus,varanus,prasinus,prasinus
5761,UF,uf,H,herp,2900-16,2900,Anolis,anolis,carolinensis,carolinensis
5762,UF,uf,H,herp,2900-18,2900,Anolis,anolis,carolinensis,carolinensis
5763,UF,uf,H,herp,2900-19,2900,Anolis,anolis,carolinensis,carolinensis
5768,UCMP,ucmp,,v,218394,218394,,,,
5769,UCMP,ucmp,,v,218434,218434,,,,
5770,UCMP,ucmp,,v,218407,218407,,,,
5771,UCMP,ucmp,,v,218393,218393,,,,
5772,UCMP,ucmp,,v,218371,218371,,,,
5773,UCMP,ucmp,,v,218372,218372,,,,
5775,UCMP,ucmp,,v,217956,217956,,,,
5776,UCMP,ucmp,,v,217964,217964,,,,
5777,UCMP,ucmp,,v,217958,217958,,,,
5778,UCMP,ucmp,,v,217972,217972,,,,
5779,UCMP,ucmp,,v,217961,217961,,,,
5780,UCMP,ucmp,,v,217973,217973,,,,
5781,UCMP,ucmp,,v,217960,217960,,,,
5782,UCMP,ucmp,,v,217962,217962,,,,
5783,UCMP,ucmp,,v,218389,218389,,,,
5784,UCMP,ucmp,,v,217950,217950,,,,
5786,UCMP,ucmp,,v,217952,217952,,,,
5788,UCMP,ucmp,,v,218333,218333,,,,
5789,UCMP,ucmp,,v,217946,217946,,,,
5790,UCMP,ucmp,,v,217936,217936,,,,
5791,UCMP,ucmp,,v,218388,218388,,,,
5792,UCMP,ucmp,,v,217949,217949,,,,
5793,UCMP,ucmp,,v,217948,217948,,,,
5794,UCMP,ucmp,,v,217947,217947,,,,
5804,UCMP,ucmp,,v,218315,218315,,,,
